Name,Assists,Map,MatchTeams
Chronicle,6,Icebox,FNC VS KOI
reazy,6,Ascent,BBL VS M8
N4RRATE,6,Sunset,KC VS GX
MrFaliN,6,Icebox,TL VS FUT
RgLMeister,6,Icebox,KRU VS MIBR
Chronicle,6,Bind,FNC VS KOI
Zest,6,Lotus,BLD VS DFM
fl1pzjder,6,Icebox,TS VS RRQ
Lightningfast,6,Lotus,GE VS DRX
N4RRATE,6,Split,KC VS NAVI
Keiko,6,Ascent,KOI VS TL
AtaKaptan,6,Sunset,VIT VS FUT
Laz,6,Ascent,GE VS ZETA
Leo,6,Bind,FNC VS KOI
aspas,6,Lotus,SEN VS LEV
MrFaliN,6,Breeze,KC VS FUT
Sayf,6,Bind,VIT VS NAVI
hiroronn,6,Sunset,BLD VS ZETA
Lightningfast,6,Icebox,GE VS TLN
Boo,6,Icebox,FNC VS TH
SSeeS,6,Split,GEN VS DFM
Ethan,6,Breeze,NRG VS FUR
sScary,6,Bind,BLD VS TLN
Cloud,6,Sunset,KC VS GX
stax,6,Sunset,TS VS DRX
marteen,6,Split,KC VS M8
AtaKaptan,6,Split,TL VS FUT
runneR,6,Sunset,VIT VS FUT
nzr,6,Breeze,NRG VS FUR
Alfajer,6,Lotus,FNC VS TH
invy,6,Lotus,TS VS DRX
yuran,6,Icebox,GE VS ZETA
nAts,6,Lotus,TL VS GX
ANGE1,6,Sunset,KC VS NAVI
Victor,6,Split,NRG VS FUR
Munchkin,6,Lotus,GEN VS DFM
d4v41,6,Bind,T1 VS PRX
Zest,6,Lotus,BLD VS ZETA
SSeeS,6,Ascent,BLD VS DFM
Brave,6,Sunset,BBL VS M8
AtaKaptan,6,Bind,KC VS FUT
mazin,6,Icebox,KRU VS MIBR
Apoth,6,Lotus,G2 VS EG
Chronicle,6,Breeze,M8 VS FNC
MiniBoo,6,Breeze,VIT VS TH
Keiko,6,Lotus,TL VS NAVI
fl1pzjder,6,Lotus,BLD VS RRQ
Melser,5,Lotus,KRU VS FUR
Klaus,5,Icebox,KRU VS FUR
SSeeS,5,Split,BLD VS DFM
Benkai,5,Icebox,GE VS ZETA
johnqt,5,Icebox,SEN VS 100T
Leo,5,Breeze,FNC VS GX
Shao,5,Bind,KC VS NAVI
Benkai,5,Breeze,GE VS TLN
Anthem,5,Sunset,T1 VS DFM
Zyppan,5,Bind,KC VS NAVI
yetujey,5,Icebox,VIT VS FUT
yetujey,5,Icebox,TL VS FUT
MaKo,5,Split,GEN VS DRX
Mistic,5,Ascent,TL VS NAVI
Mistic,5,Split,KOI VS TL
t3xture,5,Ascent,GEN VS DRX
kon4n,5,Breeze,KRU VS FUR
Sacy,5,Icebox,SEN VS LEV
OXY,5,Lotus,C9 VS EG
yay,5,Lotus,BLD VS TLN
Munchkin,5,Lotus,GEN VS TLN
keznit,5,Icebox,KRU VS FUR
Derke,5,Bind,FNC VS KOI
fl1pzjder,5,Breeze,TS VS RRQ
Jamppi,5,Split,TL VS FUT
zekken,5,Lotus,SEN VS LEV
MAGNUM,5,Breeze,KC VS FUT
Fit1nho,5,Breeze,FNC VS GX
Lmemore,5,Ascent,T1 VS RRQ
nAts,5,Split,KOI VS TL
Jamppi,5,Icebox,TL VS FUT
runi,5,Split,C9 VS EG
Meteor,5,Ascent,GEN VS TLN
hoody,5,Bind,FNC VS GX
SUYGETSU,5,Split,KC VS NAVI
Mistic,5,Split,TL VS FUT
saadhak,5,Sunset,NRG VS LOUD
ANGE1,5,Lotus,VIT VS NAVI
zekken,5,Split,SEN VS 100T
BuZz,5,Bind,GEN VS DRX
Polvi,5,Ascent,GE VS ZETA
BuZz,5,Bind,T1 VS DRX
nAts,5,Lotus,TL VS NAVI
NDG,5,Breeze,TS VS RRQ
Retla,5,Split,BLD VS DFM
Kicks,5,Icebox,VIT VS FUT
RieNs,5,Sunset,BBL VS TH
something,5,Icebox,GEN VS PRX
Asuna,5,Bind,G2 VS 100T
Klaus,5,Breeze,KRU VS FUR
Fit1nho,5,Lotus,TL VS GX
ceNder,5,Ascent,VIT VS FUT
Carpe,5,Lotus,T1 VS RRQ
Elite,5,Sunset,BBL VS TH
lenne,5,Ascent,GEN VS TLN
Carpe,5,Bind,T1 VS PRX
hoody,5,Icebox,TL VS GX
purp0,5,Bind,FNC VS GX
