Name,Kills,Map,MatchTeams
Deryeon,16,Ascent,BLD VS ZETA
cNed,16,Icebox,VIT VS FUT
Benkai,16,Icebox,GE VS ZETA
frz,16,Sunset,KRU VS MIBR
Jremy,16,Lotus,TS VS DRX
Jremy,16,Breeze,TS VS RRQ
Sayaplayer,16,Bind,T1 VS PRX
Meteor,16,Lotus,GEN VS TLN
Zest,16,Sunset,BLD VS ZETA
Keiko,16,Ascent,KOI VS TL
tomaszy,16,Icebox,KC VS M8
Redgar,16,Ascent,TL VS GX
Medusa,16,Sunset,T1 VS DFM
kamo,16,Bind,FNC VS KOI
sScary,16,Icebox,BLD VS RRQ
crashies,16,Sunset,NRG VS LOUD
Dep,16,Icebox,TS VS ZETA
Lightningfast,16,Ascent,GE VS DRX
OXY,16,Lotus,C9 VS EG
Asuna,16,Split,SEN VS 100T
yetujey,16,Icebox,VIT VS FUT
nAts,16,Lotus,TL VS GX
Lakia,16,Icebox,GEN VS PRX
BuZz,16,Sunset,TS VS DRX
Redgar,16,Breeze,FNC VS GX
sh1n,16,Lotus,KC VS FUT
Victor,16,Split,NRG VS FUR
blaZek1ng,16,Lotus,GE VS TLN
qRaxs,16,Icebox,TL VS FUT
Fit1nho,16,Icebox,TL VS GX
Lakia,16,Ascent,GEN VS TLN
OXY,16,Icebox,C9 VS LEV
paTiTek,16,Sunset,VIT VS TH
sScary,16,Split,BLD VS DFM
Russ,16,Lotus,GE VS DRX
ardiis,16,Ascent,TL VS NAVI
stax,16,Lotus,GE VS DRX
SUYGETSU,16,Split,TL VS NAVI
ceNder,16,Icebox,VIT VS FUT
yuran,16,Lotus,BLD VS ZETA
trexx,16,Icebox,VIT VS TH
BeYN,16,Sunset,TS VS DRX
Munchkin,16,Lotus,GEN VS DFM
Klaus,16,Icebox,KRU VS MIBR
Cryocells,16,Split,G2 VS 100T
mindfreak,15,Icebox,GEN VS PRX
grubinho,15,Split,KOI VS TL
Estrella,15,Breeze,TS VS RRQ
AtaKaptan,15,Icebox,VIT VS FUT
Boo,15,Breeze,VIT VS TH
Foxy9,15,Lotus,GE VS DRX
RieNs,15,Icebox,VIT VS TH
purp0,15,Breeze,FNC VS GX
trexx,15,Ascent,VIT VS FUT
