Name,First Kills,Map,MatchTeams
hoody,2,Breeze,FNC VS GX
Medusa,2,Split,GEN VS DFM
Surf,2,Bind,BLD VS TLN
TenZ,2,Icebox,SEN VS LEV
kiNgg,2,Icebox,SEN VS LEV
stax,2,Bind,GEN VS DRX
Chronicle,2,Bind,FNC VS GX
MaKo,2,Lotus,GE VS DRX
NaturE,2,Lotus,C9 VS EG
Cryocells,2,Split,G2 VS 100T
SUYGETSU,2,Bind,KC VS NAVI
nAts,2,Split,TL VS NAVI
bang,2,Bind,G2 VS 100T
MAGNUM,2,Breeze,KC VS GX
Benkai,2,Ascent,GE VS ZETA
ANGE1,2,Sunset,KC VS NAVI
JonahP,2,Bind,G2 VS 100T
runi,2,Split,C9 VS EG
Retla,2,Lotus,BLD VS TLN
Munchkin,2,Icebox,GEN VS PRX
eeiu,2,Bind,G2 VS 100T
invy,2,Icebox,TS VS RRQ
Alfajer,2,Lotus,FNC VS TH
yuran,2,Ascent,BLD VS ZETA
jzz,2,Icebox,KRU VS MIBR
Laz,2,Lotus,TS VS ZETA
grubinho,2,Bind,FNC VS KOI
heat,2,Sunset,KRU VS MIBR
runi,2,Sunset,C9 VS EG
MrFaliN,2,Icebox,VIT VS FUT
nataNk,2,Breeze,M8 VS FNC
Jamppi,2,Split,KOI VS TL
stax,2,Split,GEN VS DRX
MAGNUM,2,Sunset,KC VS NAVI
Ethan,2,Breeze,NRG VS FUR
sScary,2,Ascent,BLD VS DFM
ANGE1,2,Split,KC VS NAVI
mindfreak,2,Icebox,GEN VS PRX
sheydos,2,Ascent,KOI VS TL
Jinggg,2,Bind,T1 VS PRX
trexx,2,Ascent,VIT VS FUT
nataNk,2,Sunset,BBL VS M8
lenne,2,Ascent,GEN VS TLN
Sayf,2,Breeze,VIT VS TH
Mistic,2,Lotus,TL VS GX
Derke,1,Split,FNC VS GX
starxo,1,Ascent,KOI VS TL
RieNs,1,Icebox,FNC VS TH
Carpe,1,Bind,T1 VS DRX
Anthem,1,Split,BLD VS DFM
Crws,1,Lotus,GE VS TLN
Boaster,1,Breeze,FNC VS GX
BORKUM,1,Lotus,TS VS ZETA
havoc,1,Split,NRG VS FUR
Foxy9,1,Split,GEN VS DRX
Boaster,1,Bind,FNC VS GX
bang,1,Split,SEN VS 100T
benjyfishy,1,Sunset,BBL VS TH
xccurate,1,Ascent,T1 VS RRQ
Khalil,1,Split,NRG VS FUR
tomaszy,1,Breeze,KC VS GX
havoc,1,Lotus,KRU VS FUR
Khalil,1,Breeze,NRG VS FUR
Munchkin,1,Ascent,GEN VS DRX
Sayaplayer,1,Bind,T1 VS DRX
invy,1,Lotus,TS VS DRX
cauanzin,1,Breeze,NRG VS LOUD
SugarZ3ro,1,Lotus,BLD VS ZETA
Deryeon,1,Lotus,BLD VS DFM
Leo,1,Breeze,M8 VS FNC
saadhak,1,Sunset,NRG VS LOUD
Jemkin,1,Ascent,T1 VS RRQ
trexx,1,Lotus,VIT VS NAVI
Munchkin,1,Split,GEN VS DFM
Xeppaa,1,Sunset,C9 VS EG
BeYN,1,Bind,T1 VS DRX
Zest,1,Icebox,BLD VS RRQ
pAura,1,Split,BBL VS TH
paTiTek,1,Sunset,VIT VS TH
Kicks,1,Bind,VIT VS NAVI
t3xture,1,Split,GEN VS DRX
eeiu,1,Split,G2 VS 100T
