Name,Kast,MatchTeams,Date
yuran,0.68,GE VS ZETA,April 6th 2024
NDG,0.68,TS VS ZETA,April 14th 2024
Fit1nho,0.68,FNC VS GX,April 12th 2024
saadhak,0.68,NRG VS LOUD,April 6th 2024
Kicks,0.68,VIT VS NAVI,April 4th 2024
Deryeon,0.68,BLD VS RRQ,April 14th 2024
Benkai,0.68,GE VS DRX,April 8th 2024
JitBoyS,0.68,GE VS TLN,April 15th 2024
Zyppan,0.68,KC VS NAVI,April 17th 2024
Keiko,0.68,TL VS NAVI,April 11th 2024
MAGNUM,0.68,KC VS FUT,April 10th 2024
ANGE1,0.68,TL VS NAVI,April 11th 2024
zekken,0.68,SEN VS 100T,April 7th 2024
frz,0.68,KRU VS MIBR,April 14th 2024
icy,0.68,G2 VS 100T,April 13th 2024
Rossy,0.67,T1 VS DRX,April 13th 2024
Sacy,0.67,SEN VS LEV,April 13th 2024
BORKUM,0.67,TS VS DRX,April 6th 2024
nzr,0.67,NRG VS FUR,April 14th 2024
kon4n,0.67,KRU VS FUR,April 8th 2024
paTiTek,0.67,BBL VS TH,April 18th 2024
Mistic,0.67,TL VS FUT,April 5th 2024
runi,0.67,C9 VS LEV,April 6th 2024
RgLMeister,0.67,KRU VS MIBR,April 14th 2024
ban,0.67,GE VS TLN,April 15th 2024
N4RRATE,0.67,KC VS FUT,April 10th 2024
JessieVash,0.67,TS VS DRX,April 6th 2024
Jremy,0.67,TS VS DRX,April 6th 2024
yay,0.66,BLD VS ZETA,April 16th 2024
yuran,0.66,BLD VS ZETA,April 16th 2024
fl1pzjder,0.66,TS VS RRQ,April 8th 2024
tomaszy,0.66,KC VS FUT,April 10th 2024
nzr,0.66,KRU VS FUR,April 8th 2024
sh1n,0.66,KC VS FUT,April 10th 2024
Marved,0.66,NRG VS LOUD,April 6th 2024
kamo,0.66,KOI VS TL,April 3rd 2024
yetujey,0.66,VIT VS FUT,April 18th 2024
zekken,0.66,SEN VS LEV,April 13th 2024
Brave,0.66,BBL VS M8,April 5th 2024
Apoth,0.65,C9 VS EG,April 15th 2024
ban,0.65,GEN VS TLN,April 9th 2024
runneR,0.65,VIT VS TH,April 10th 2024
Boo,0.65,BBL VS TH,April 18th 2024
Rossy,0.65,T1 VS PRX,April 7th 2024
leaf,0.65,G2 VS 100T,April 13th 2024
tuyz,0.65,NRG VS LOUD,April 6th 2024
havoc,0.65,NRG VS FUR,April 14th 2024
marteen,0.65,KC VS NAVI,April 17th 2024
kamo,0.65,FNC VS KOI,April 19th 2024
Keiko,0.65,TL VS FUT,April 5th 2024
Khalil,0.65,NRG VS FUR,April 14th 2024
xffero,0.65,T1 VS RRQ,April 16th 2024
benjyfishy,0.64,VIT VS TH,April 10th 2024
ANGE1,0.64,KC VS NAVI,April 17th 2024
AtaKaptan,0.64,VIT VS FUT,April 18th 2024
Lightningfast,0.64,GE VS ZETA,April 6th 2024
Surf,0.64,GEN VS TLN,April 9th 2024
Cloud,0.64,TL VS GX,April 19th 2024
Meteor,0.64,GEN VS PRX,April 13th 2024
iZu,0.64,T1 VS DFM,April 9th 2024
Cloud,0.64,KC VS GX,April 3rd 2024
Derrek,0.63,G2 VS EG,April 7th 2024
MiniBoo,0.63,BBL VS TH,April 18th 2024
Crws,0.63,GEN VS TLN,April 9th 2024
Wailers,0.63,KC VS M8,April 12th 2024
purp0,0.63,TL VS GX,April 19th 2024
starxo,0.62,KOI VS TL,April 3rd 2024
Derke,0.62,FNC VS TH,April 4th 2024
Polvi,0.62,GE VS DRX,April 8th 2024
NDG,0.62,TS VS DRX,April 6th 2024
Sayaplayer,0.62,T1 VS DRX,April 13th 2024
lenne,0.62,GEN VS TLN,April 9th 2024
xccurate,0.62,T1 VS DRX,April 13th 2024
mwzera,0.62,NRG VS FUR,April 14th 2024
Crws,0.62,GE VS TLN,April 15th 2024
blaZek1ng,0.62,GE VS ZETA,April 6th 2024
Estrella,0.61,T1 VS RRQ,April 16th 2024
pAura,0.61,BBL VS M8,April 5th 2024
nAts,0.61,TL VS FUT,April 5th 2024
Derrek,0.61,C9 VS EG,April 15th 2024
sheydos,0.61,BBL VS KOI,April 11th 2024
Anthem,0.61,GEN VS DFM,April 15th 2024
logaN,0.61,M8 VS FNC,April 17th 2024
havoc,0.61,KRU VS FUR,April 8th 2024
Surf,0.61,GE VS TLN,April 15th 2024
Polvi,0.61,GE VS ZETA,April 6th 2024
Benkai,0.61,GE VS ZETA,April 6th 2024
pAura,0.6,BBL VS KOI,April 11th 2024
supamen,0.6,G2 VS EG,April 7th 2024
yay,0.6,BLD VS RRQ,April 14th 2024
Governor,0.6,GEN VS TLN,April 9th 2024
fl1pzjder,0.6,T1 VS RRQ,April 16th 2024
iZu,0.6,T1 VS DRX,April 13th 2024
Lmemore,0.6,T1 VS RRQ,April 16th 2024
Asuna,0.59,SEN VS 100T,April 7th 2024
Carpe,0.59,T1 VS DRX,April 13th 2024
t3xture,0.59,GEN VS PRX,April 13th 2024
mwzera,0.59,KRU VS FUR,April 8th 2024
Derke,0.59,FNC VS GX,April 12th 2024
jawgemo,0.59,C9 VS EG,April 15th 2024
neth,0.58,GEN VS DFM,April 15th 2024
beyAz,0.58,M8 VS FNC,April 17th 2024
kon4n,0.58,NRG VS FUR,April 14th 2024
nataNk,0.58,M8 VS FNC,April 17th 2024
Asuna,0.58,G2 VS 100T,April 13th 2024
beyAz,0.58,KC VS M8,April 12th 2024
JitBoyS,0.58,GEN VS TLN,April 9th 2024
logaN,0.57,KC VS M8,April 12th 2024
starxo,0.57,BBL VS KOI,April 11th 2024
artzin,0.57,KRU VS MIBR,April 14th 2024
JessieVash,0.57,TS VS ZETA,April 14th 2024
blaZek1ng,0.57,GE VS DRX,April 8th 2024
SSeeS,0.56,GEN VS DFM,April 15th 2024
Meiy,0.56,GEN VS DFM,April 15th 2024
Retla,0.56,BLD VS RRQ,April 14th 2024
ShadoW,0.55,FNC VS KOI,April 19th 2024
purp0,0.55,KC VS GX,April 3rd 2024
ceNder,0.55,VIT VS NAVI,April 4th 2024
Apoth,0.54,G2 VS EG,April 7th 2024
Zest,0.54,BLD VS RRQ,April 14th 2024
Quick,0.54,NRG VS LOUD,April 6th 2024
jawgemo,0.54,G2 VS EG,April 7th 2024
Boostio,0.53,SEN VS 100T,April 7th 2024
TakaS,0.52,KC VS M8,April 12th 2024
Redgar,0.52,KC VS GX,April 3rd 2024
ShadoW,0.52,BBL VS KOI,April 11th 2024
reazy,0.49,BBL VS M8,April 5th 2024
kamo,0.46,BBL VS KOI,April 11th 2024
Wailers,0.44,M8 VS FNC,April 17th 2024
TakaS,0.39,M8 VS FNC,April 17th 2024
