Name,HS Rate,MatchTeams,Date
Khalil,0.18,NRG VS FUR,April 14th 2024
Kicks,0.18,VIT VS FUT,April 18th 2024
runneR,0.18,VIT VS TH,April 10th 2024
TakaS,0.18,KC VS M8,April 12th 2024
fl1pzjder,0.18,BLD VS RRQ,April 14th 2024
Polvi,0.17,GE VS ZETA,April 6th 2024
xccurate,0.17,T1 VS DFM,April 9th 2024
Derke,0.17,FNC VS GX,April 12th 2024
Enzo,0.17,KOI VS TL,April 3rd 2024
vanity,0.17,C9 VS EG,April 15th 2024
yay,0.17,BLD VS ZETA,April 16th 2024
Chronicle,0.17,M8 VS FNC,April 17th 2024
sheydos,0.17,FNC VS KOI,April 19th 2024
runneR,0.17,VIT VS NAVI,April 4th 2024
Anthem,0.17,GEN VS DFM,April 15th 2024
Boaster,0.17,FNC VS TH,April 4th 2024
Zellsis,0.17,SEN VS LEV,April 13th 2024
leaf,0.17,G2 VS EG,April 7th 2024
Jinggg,0.17,T1 VS PRX,April 7th 2024
Jremy,0.16,TS VS DRX,April 6th 2024
Enzo,0.16,TL VS NAVI,April 11th 2024
trexx,0.16,VIT VS FUT,April 18th 2024
Rossy,0.16,T1 VS DFM,April 9th 2024
mwzera,0.16,KRU VS FUR,April 8th 2024
Kicks,0.15,VIT VS NAVI,April 4th 2024
ShadoW,0.15,BBL VS KOI,April 11th 2024
Wailers,0.15,KC VS M8,April 12th 2024
JonahP,0.15,G2 VS 100T,April 13th 2024
Chronicle,0.15,FNC VS TH,April 4th 2024
ShadoW,0.14,KOI VS TL,April 3rd 2024
Boostio,0.14,SEN VS 100T,April 7th 2024
Ethan,0.14,NRG VS LOUD,April 6th 2024
lenne,0.13,GEN VS TLN,April 9th 2024
C0M,0.12,C9 VS LEV,April 6th 2024
Surf,0.09,GEN VS TLN,April 9th 2024
runneR,0.09,VIT VS FUT,April 18th 2024
Boaster,0.04,FNC VS KOI,April 19th 2024
